account,id,created_at,impressions,reposts,quotes,likes,replies,images,is_quote,text
mymoods_vape,2088943863532753320,2026-08-16T11:00:02.000Z,1363,0,0,0,0,1,0,【フレーバー入荷・次回入荷予定につきまして】 お客様各位 お世話になっております。MyMoods公式です。 この度は、ECサイト移行・在庫欠品により、ご不便・ご迷惑をおかけしており、大変申し訳ございません。 https://t.co/y1lKtOhHFj
mymoods_vape,2087106496299712689,2026-08-11T09:18:59.000Z,735,0,0,0,0,0,0,【追記・フレーバー入荷につきまして】 ・LYCHEE DUO ICE 3% ・MINT ICE 5% ・FUJI DUO ICE 5% ・LYCHEE DUO ICE 5% ・ROYAL MANGO 5% ・GRAPE ICE 5% 大変申し訳ございませんが、上記フレーバーの入荷には1か月以上かかります。
mymoods_vape,2086769540478943587,2026-08-10T11:00:03.000Z,3359,0,0,6,3,1,0,【お詫びと重要なお知らせ】 お客様各位 いつもお世話になっております。 この度は、MyMoods ECサイトのシステム移行に伴いまして、お問い合わせ対応や商品発送対応につきましてご不便・ご迷惑をおかけしており、大変申し訳ございません。 ■フォーム不具合の解消につきまして https://t.co/EFtcrSoUAx
mymoods_vape,2085319978664837534,2026-08-06T11:00:00.000Z,3441,0,0,0,11,2,0,いよいよ夏本番🏄 これから増えてくる音楽フェス・クラブイベントにもベイプはおすすめ✌ 音楽やダンスといっしょにお気に入りのフレーバーを楽しめば、さらに素敵な時間を過ごせるはず🪩 （ベイプを吸う際は、決められた区画やマナーを守りましょう） https://t.co/fsL8ycLfSM
mymoods_vape,2084957591503810653,2026-08-05T11:00:01.000Z,2743,0,0,0,5,2,0,.𖥔 ݁ ˖ ✦ ‧₊˚ ⋅.𖥔.𖥔 ݁ ˖ ✦ ‧₊˚ ⋅.𖥔 自由きままに。 🫧ベイプの吸い方•楽しみ方🫧 .𖥔 ݁ ˖ ✦ ‧₊˚ ⋅.𖥔.𖥔 ݁ ˖ ✦ ‧₊˚ ⋅.𖥔 デバイスをしっかりと充電し、マウスピース（吸い口）に口をつけ、深く息を吸うだけ。 上質なフレーバーと味わいが瞬く間に広がります💨 https://t.co/4OKn7TlzOs
mymoods_vape,2084595210747564282,2026-08-04T11:00:02.000Z,2471,1,0,3,3,1,0,和の香りを感じる柑橘ですきっと爽やか🍃 きゅんと甘酸っぱいフレーバーでリラックス。 MyMoods VAPE YUZU🍊🌿 太陽をたっぷり浴び、黄色く色づいたゆずを絞ったような、フレッシュ感あふれる味わい。 皮の苦味もほのかに香る吸い味は、他のベイプにはない極上のリアル感です🍊 https://t.co/dQdlKtiNUD
mymoods_vape,2084232826115760622,2026-08-03T11:00:03.000Z,2604,0,1,1,5,4,0,【What's MyMoods VAPE？】 MyMoods VAPEは“吸う”という行為を通し、『気分をデザインする体験』をご提供する、リラクゼーションデバイスです。 https://t.co/4jUxRCPfma
mymoods_vape,2083870426615193679,2026-08-02T11:00:00.000Z,1593,0,0,0,1,3,0,季節やシーンに合わせて。 気分を着替える、MyMoods VAPE。 なにもしない休みの日も、クラブで踊り明かす日も、心配ごとで頭がいっぱいの日も。 ひと吸いであなたを着替える、気分をデザインする体験を。 https://t.co/eAO3tMlDHL
mymoods_vape,2083508039206732252,2026-08-01T11:00:00.000Z,1792,0,1,4,2,1,0,蒸し暑くて長い、日本の夏🌧️ 強冷メンソールとライチの爽快感で吹き飛ばして🌊 MyMoods VAPE LYCHEE DUO ICE🧊 シャリっと凍らせたライチを味わうような、染みわたる甘さと透き通った冷たい吸い心地が気持ち良いベイプ。真夏にぴったりの味わいを、ぜひともお試しください。 https://t.co/ElYW3MX6x9
mymoods_vape,2083145650208645175,2026-07-31T11:00:00.000Z,1458,0,0,0,1,2,0,◤￣￣￣￣￣￣￣￣￣￣￣ MyMoods VAPEで ノンニコチンデビュー🍰 ＿＿＿＿＿＿＿＿＿＿＿◢ 数多くのベイプを取り扱ってきたMyMoodsが、自信を持ってお届けする日本発ベイプ・ポケットシーシャブランド。 ✅タールフリーでクリーンに楽しめる🫧 https://t.co/OyWUJtnHdk
mymoods_vape,2082783270203449826,2026-07-30T11:00:02.000Z,1543,0,0,5,0,4,0,メンソール好き集合🏃 MyMoods VAPEで大人気の『ICE』系フレーバー、おすすめをご紹介✌（ノンニコチン） ◇BULE RAZZ ICE🫐 ブルーベリー×メンソールの王道フレーバー。暑い日をひと吸いで快適に。 ◇KIWI ICE🥝 ひんやりとしたキウイの甘酸っぱさを吸い込んで。ゆっくりとくつろぐひととき。 https://t.co/AVU5CRnrNh
mymoods_vape,2082420883520651342,2026-07-29T11:00:02.000Z,1268,0,0,0,1,4,0,バーベキューシーズン到来🍖 野外で肉料理を味わうときでも、MyMoodsVAPEは大活躍。 メンソール系フレーバー、ライムやパイナップルなどのさわやかなフルーツフレーバーで口をさっぱりさせれば、楽しい時間はさらに盛り上がっていくはず。 https://t.co/rtGuexPVy8
mymoods_vape,2082058488792928372,2026-07-28T11:00:01.000Z,1376,0,0,2,0,1,0,【ニコチンベイプ譲渡にご注意】 「買ってみたけど吸わないから友達に譲ろうかな……」 「知り合いからタダでもらったんだけど……」 ニコパフなどのニコチン含有製品は法律において薬品に該当します。 https://t.co/rf7fvBbD7w
mymoods_vape,2081696102563135503,2026-07-27T11:00:01.000Z,1097,0,0,1,0,4,0,＼＼🏖️夏本番！ひとときの南国トリップを🏝️／／ 海辺にパラソルを立てて、ビーチベットに寝そべって…… あこがれのトロピカルな体験を、おすすめフルーツフレーバーでかなえよう。 ▶GUAVA ICE🍹 グアバのさわやかでエキゾチックな甘味とメンソールが織りなす、極上の深呼吸。 ▶LEMON SHERBET🍋 https://t.co/W057EpPtOS
mymoods_vape,2081333715847033011,2026-07-26T11:00:01.000Z,841,0,0,0,0,1,0,◤￣￣￣￣￣￣￣￣￣￣￣￣￣ ✅再周知✅ MyMoodsの最新情報を 公式LINEで逃さずチェック ＿＿＿＿＿＿＿＿＿＿＿＿＿◢ 現在、MyMoodsは公式LINEを移行しております。お手数ですが、登録がお済みでない方は、プロフィールのリンクよりご登録ください。 https://t.co/cdAqBKlp4s
mymoods_vape,2080971326609637429,2026-07-25T11:00:01.000Z,956,1,0,2,0,1,0,濃厚スムージーのような、強烈なフレーバー体験🍹 MyMoods VAPE『KIWI DRAGON ICE』🐉 キウイとドラゴンアイスをミックスしたトロピカルなうまみに、ひんやりとしたメンソールをプラス。 氷と果実を砕いて作ったジュースを異国の屋台で楽しむような、南国気分を手軽に楽しめます🏖️ https://t.co/NhgmTlkr5b
mymoods_vape,2080608937255325735,2026-07-24T11:00:01.000Z,899,0,0,0,0,3,0,ポケットに入る。シンプルだからこそ際立つ。 あなたの個性を香らせるデバイスデザイン。 金属の質感が高級感を高め、スタイリッシュにもカジュアルにも持つことができる、気分をデザインする体験を。 https://t.co/whDZMl2YZM
mymoods_vape,2080246560462393364,2026-07-23T11:00:03.000Z,982,0,0,0,0,2,0,／ POD型VAPEとはどんなベイプ？ ＼ フレーバーリキッドなどが入ったポッドと、繰り返し充電して使えるデバイスから構成。吸い終わったり、別の味に変えたいときは、ポッド部分をさっと取り換え。 https://t.co/Iv1k5afntj
